,label,names,discription
0,rice,Oryza_sativa,"Oryza sativa, commonly known as Asian rice, is the plant species most commonly referred to in English as rice. It is the type of farmed rice whose cultivars are most common globally, and was first domesticated in the Yangtze River basin in China 13,500 to 8,200 years ago.Oryza sativa is a grass with a genome consisting of 430Mb across 12 chromosomes. It is renowned for being easy to genetically modify and is a model organism for cereal biology.
Oryza sativa contains two major subspecies: the sticky, short-grained japonica or sinica variety, and the nonsticky, long-grained indica rice variety. Japonica was domesticated in the Yangtze Valley 9-6,000 years ago, and its varieties are usually cultivated in dry fields (it is cultivated mainly submerged in Japan), in temperate East Asia, upland areas of Southeast Asia, and high elevations in South Asia, while indica was domesticated around the Ganges 8,500-4,500 years ago, and its varieties are mainly lowland rices, grown mostly submerged, throughout tropical Asia. Rice occurs in a variety of colors, including white, brown, black, purple, and red rices. Black rice (also known as purple rice) is a range of rice types, some of which are glutinous rice."
1,maize,Maize corn,"Maize ( MAYZ; Zea mays subsp. mays, from Spanish: maíz after Taino: mahiz), also known as corn (North American and Australian English), is a cereal grain first domesticated by indigenous peoples in southern Mexico about 10,000 years ago. The leafy stalk of the plant produces pollen inflorescences (or ""tassels"") and separate ovuliferous inflorescences called ears that when fertilized yield kernels or seeds, which are fruits.Maize has become a staple food in many parts of the world, with the total production of maize surpassing that of wheat or rice. In addition to being consumed directly by humans (often in the form of masa), maize is also used for corn ethanol, animal feed and other maize products, such as corn starch and corn syrup. The six major types of maize are dent corn, flint corn, pod corn, popcorn, flour corn, and sweet corn. Sugar-rich varieties called sweet corn are usually grown for human consumption as kernels, while field corn varieties are used for animal feed, various corn-based human food uses (including grinding into cornmeal or masa, pressing into corn oil, and fermentation and distillation into alcoholic beverages like bourbon whiskey), and as chemical feedstocks. Maize is also used in making ethanol and other biofuels."
2,chickpea,Chick pea,"The chickpea or chick pea (Cicer arietinum) is an annual legume of the family Fabaceae, subfamily Faboideae. Its different types are variously known as gram or Bengal gram, garbanzo or garbanzo bean, or Egyptian pea.  Chickpea seeds are high in protein. It is one of the earliest cultivated legumes, and 9500-year-old remains have been found in the Middle East.The chickpea is a key ingredient in Mediterranean and Middle Eastern cuisines, used in hummus, and, when ground into flour, falafel. It also is important in Indian cuisine, used in salads, soups and stews, and curry, in chana masala,  and in other meal products like channa. In 2019, India was responsible for 70% of global chickpea production."
3,kidneybeans,Kidney_bean,"The kidney bean is a variety of the common bean (Phaseolus vulgaris). It resembles a human kidney and thus is named after such. Red kidney beans should not be confused with other red beans, such as adzuki beans or pinto beans. 

There are different classifications of kidney beans, such as:
Red kidney bean (also known as: common kidney bean, rajma in India, surkh (red) lobia in Pakistan).
Light speckled kidney bean (and long shape light speckled kidney bean).
Red speckled kidney bean (and long shape light speckled kidney bean).
White kidney bean (also known as cannellini in Italy, lobia in India, or safaid (white) lobia in Pakistan)."
4,pigeonpeas,pigeonpeas,"The pigeon pea (Cajanus cajan) is a perennial legume from the family Fabaceae. Since its domestication in the Indian subcontinent at least 3,500 years ago, its seeds have become a common food in Asia, Africa, and Latin America. It is consumed on a large scale in South Asia and is a major source of protein for the population of the Indian subcontinent. It is the primary accompaniment to rice or roti (flat bread) and has the status of staple food throughout the length and breadth of India.


"
5,mothbeans,mothbean,"Vigna aconitifolia is a drought-resistant legume, commonly grown in arid and semi-arid regions of India. It is commonly called mat bean, moth bean, matki  or dew bean. The pods, sprouts and protein-rich seeds of this crop are commonly consumed in India.  Moth bean can be grown on many soil types, and can also act as a pasture legume.
Moth bean is a creeping annual herbaceous plant which grows to approximately 40 cm high. Yellow flowers on its hairy and densely packed branches develop into yellow-brown pods, 2 to 3 inches in length The seeds of these pods contain approximately 22–24% protein.Due to its drought-resistant qualities, its ability to combat soil erosion and its high protein content, moth bean has been identified as possibly a more significant food source in the future.  It has been suggested that its suitability as a grain legume in semi-arid Africa should be further investigated."
6,mungbean,mungbean,"The mung bean (Vigna radiata), alternatively known as the green gram, maash (Persian: ماش), moong (from Sanskrit: मुद्ग, romanized: mudga),  monggo, or munggo (Philippines), is a plant species in the legume family. The mung bean is mainly cultivated in East, Southeast and South Asia. It is used as an ingredient in both savoury and sweet dishes.
The green gram is an annual vine with yellow flowers and fuzzy brown pods.
The English word mung originated (and used as is) from the Hindi word मूंग (""moong""), which is derived from the Sanskrit word मुद्ग (""mudga"").
Mung bean (Vigna radiata) is a plant species of Fabaceae which is also known as green gram. It is sometimes confused with black gram (Vigna mungo) for their similar morphology, though they are two different species."
7,blackgram,blackgram,"Vigna mungo, the black gram, urad bean, mash kalai, uzhunnu parippu, ulundu paruppu, minapa pappu, Uddu (in Kannada) or black matpe is a bean grown in South Asia. Like its relative, the mung bean, it has been reclassified from the Phaseolus to the Vigna genus. The product sold as black lentil is usually the whole urad bean, whereas the split bean (the interior being white) is called white lentil. It should not be confused with the much smaller true black lentil (Lens culinaris).
Black gram originated in South Asia, where it has been in cultivation from ancient times and is one of the most highly prized pulses of India. It is very widely used in Indian cuisine. In India the black gram is one of the important pulses grown in both Kharif and Rabi seasons."
8,lentil,Lens culinaris,"The lentil (Lens culinaris or Lens esculenta) is an edible legume. It is an annual plant known for its lens-shaped seeds. It is about 40 cm (16 in) tall, and the seeds grow in pods, usually with two seeds in each. As a food crop, the majority of world production comes from Canada (33%) and India (25%), producing 58% combined of the world total.
In cuisines of the Indian subcontinent, where lentils are a staple, split lentils (often with their hulls removed) known as daal are often cooked into a thick curry/gravy that is usually eaten with rice or rotis.Many different names in different parts of the world are used for the crop lentil. The first use of the word lens to designate a specific genus was in the 16th century by the botanist Tournefort."
9,pomegranate,pomegranate,"The pomegranate (Punica granatum) is a fruit-bearing deciduous shrub in the family Lythraceae, subfamily Punicoideae, that grows between 5 and 10 m (16 and 33 ft) tall.
The pomegranate was originally described throughout the Mediterranean region. It was introduced into Spanish America in the late 16th century and into California by Spanish settlers in 1769.The fruit is typically in season in the Northern Hemisphere from October to February, and in the Southern Hemisphere from March to May. As intact sarcotestas or juice, pomegranates are used in baking, cooking, juice blends, meal garnishes, smoothies, and alcoholic beverages, such as cocktails and wine.
Pomegranates are widely cultivated throughout the Middle East and Caucasus region, north and tropical Africa, Iran, the Indian subcontinent, Central Asia, the drier parts of Southeast Asia, and the Mediterranean Basin.
The name pomegranate derives from medieval Latin pōmum ""apple"" and grānātum ""seeded"". Possibly stemming from the old French word for the fruit, pomme-grenade, the pomegranate was known in early English as ""apple of Grenada""—a term which today survives only in heraldic blazons."
